tenant_id,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,0.05998244796361571,0.005172685261049803,0.016854397023746893,0.006146154860486305,0.020042550322224715
tenant-dsk,0.005172685261049803,0.007637190856398815,0.002727949198310801,0.002600201249780327,0.005419226050228992
tenant-mem,0.016854397023746893,0.002727949198310801,0.06227148394426589,0.0042299031795248925,0.01798246041667659
tenant-nsy,0.006146154860486305,0.002600201249780327,0.0042299031795248925,0.009175129966764494,0.006111964027691807
tenant-ntk,0.020042550322224715,0.005419226050228992,0.01798246041667659,0.006111964027691807,0.052780542401232235
