,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.0,0.0,0.0,0.0
tenant-dsk,0.0,,0.0,0.1521961623968441,0.0
tenant-mem,0.0,0.0,,0.0,0.0
tenant-nsy,0.0,0.0706121165909628,0.0,,0.0
tenant-ntk,0.0,0.0,0.0,0.0,
