,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,2.566189614775181e-11,0.9999512377189932,
tenant-dsk,4.823969807215392e-103,,0.9957219338507262,
tenant-mem,0.999798670467898,0.9985264642670583,,
tenant-ntk,,,,
