,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.09918432644884193,0.031028700139457518,5.629975188379311e-10,2.712739755962764e-08
tenant-dsk,3.0716999889176662e-09,,6.705825819507977e-07,0.31445641936923957,2.639298300594799e-10
tenant-mem,1.6847062348528398e-07,0.020059154852786868,,5.764728453729444e-09,1.3105283368056709e-12
tenant-nsy,0.7248306473316658,0.43886830320699355,0.21149352868936008,,0.4311657522241428
tenant-ntk,2.1746210270377527e-06,0.0062488765640700055,1.4805852443040243e-05,0.8993862770441139,
