tenant_id,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,2170303851043.037,-2826183660158.7695,291398900259.64667,197753306012.2489
tenant-dsk,-2826183660158.7695,84916268462664.31,15232803749633.684,-6806729702903.305
tenant-mem,291398900259.64667,15232803749633.684,10379436647922.15,-1202917572651.594
tenant-ntk,197753306012.2489,-6806729702903.305,-1202917572651.594,554302224903.7942
