tenant_id,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,1086789.688637271,132954.19055366982,53368.31605378427,424111800.5879746,3641187.093526992
tenant-dsk,132954.19055366982,917512.8912424331,54306.95428233982,-7185402971.82349,6415221.220240041
tenant-mem,53368.31605378427,54306.95428233982,1106779.4301056,-17777168716.01532,6485234.95050133
tenant-nsy,424111800.5879746,-7185402971.82349,-17777168716.01532,3.029360199946814e+17,-3199762942138.1045
tenant-ntk,3641187.093526992,6415221.220240041,6485234.95050133,-3199762942138.1045,1822015537.407129
