tenant1,tenant2,covariance,metric,phase,round_id
tenant-cpu,tenant-dsk,0.008392861624994695,cpu_usage,1-Baseline,round-8
tenant-cpu,tenant-mem,0.03200787860737369,cpu_usage,1-Baseline,round-8
tenant-cpu,tenant-ntk,0.01167189843586984,cpu_usage,1-Baseline,round-8
tenant-dsk,tenant-mem,0.008282330609046039,cpu_usage,1-Baseline,round-8
tenant-dsk,tenant-ntk,-0.011319060220689158,cpu_usage,1-Baseline,round-8
tenant-mem,tenant-ntk,0.006808445012572988,cpu_usage,1-Baseline,round-8
tenant-cpu,tenant-dsk,0.00297465441233472,cpu_usage,2-CPU-Noise,round-8
tenant-cpu,tenant-mem,0.03151185047961069,cpu_usage,2-CPU-Noise,round-8
tenant-cpu,tenant-nsy,-0.061905859714026665,cpu_usage,2-CPU-Noise,round-8
tenant-cpu,tenant-ntk,0.01547216605388893,cpu_usage,2-CPU-Noise,round-8
tenant-dsk,tenant-mem,0.0030355269739702332,cpu_usage,2-CPU-Noise,round-8
tenant-dsk,tenant-nsy,0.0031426733533014848,cpu_usage,2-CPU-Noise,round-8
tenant-dsk,tenant-ntk,0.008186069466227325,cpu_usage,2-CPU-Noise,round-8
tenant-mem,tenant-nsy,-0.05712837273697848,cpu_usage,2-CPU-Noise,round-8
tenant-mem,tenant-ntk,0.015834154838217106,cpu_usage,2-CPU-Noise,round-8
tenant-nsy,tenant-ntk,0.013198914954160583,cpu_usage,2-CPU-Noise,round-8
tenant-cpu,tenant-dsk,0.0025579793729574385,cpu_usage,3-Memory-Noise,round-8
tenant-cpu,tenant-mem,0.02142445180318884,cpu_usage,3-Memory-Noise,round-8
tenant-cpu,tenant-nsy,-0.02510481261322276,cpu_usage,3-Memory-Noise,round-8
tenant-cpu,tenant-ntk,0.01788375723842032,cpu_usage,3-Memory-Noise,round-8
tenant-dsk,tenant-mem,0.0016962667402822416,cpu_usage,3-Memory-Noise,round-8
tenant-dsk,tenant-nsy,0.005779965176334516,cpu_usage,3-Memory-Noise,round-8
tenant-dsk,tenant-ntk,0.004434880662526788,cpu_usage,3-Memory-Noise,round-8
tenant-mem,tenant-nsy,-0.0276642785342684,cpu_usage,3-Memory-Noise,round-8
tenant-mem,tenant-ntk,0.015361487148400955,cpu_usage,3-Memory-Noise,round-8
tenant-nsy,tenant-ntk,0.006661140458159833,cpu_usage,3-Memory-Noise,round-8
tenant-cpu,tenant-dsk,0.0036730337898927623,cpu_usage,4-Network-Noise,round-8
