metric_name,phase,tenant1,tenant2,mean_correlation,std_correlation
cpu_usage,3 - Memory Noise,tenant-nsy,tenant-ntk,0.23401101841703098,0.12869953696114117
cpu_usage,4 - Network Noise,tenant-cpu,tenant-dsk,0.2102177366980635,0.045065456028505174
cpu_usage,4 - Network Noise,tenant-cpu,tenant-mem,0.24563077678520293,0.01553879428426209
cpu_usage,4 - Network Noise,tenant-cpu,tenant-nsy,0.22973519124560557,0.05774889718947065
cpu_usage,4 - Network Noise,tenant-cpu,tenant-ntk,0.14265310332946227,0.0902197474825305
cpu_usage,4 - Network Noise,tenant-dsk,tenant-mem,0.4139744260453395,0.19505094386517838
cpu_usage,4 - Network Noise,tenant-dsk,tenant-nsy,0.4387219973142094,0.03449314396515187
cpu_usage,4 - Network Noise,tenant-dsk,tenant-ntk,0.2985651044261172,0.09650551357509608
cpu_usage,4 - Network Noise,tenant-mem,tenant-nsy,0.5132510847550441,0.03700989913450679
cpu_usage,4 - Network Noise,tenant-mem,tenant-ntk,0.32471352021390354,0.11973264560335589
cpu_usage,4 - Network Noise,tenant-nsy,tenant-ntk,0.31392914073534284,0.022968718257361163
cpu_usage,5 - Disk Noise,tenant-cpu,tenant-dsk,0.16388670693460297,0.0876904376165137
cpu_usage,5 - Disk Noise,tenant-cpu,tenant-mem,0.3042609517337283,0.046983671963193294
cpu_usage,5 - Disk Noise,tenant-cpu,tenant-nsy,0.3792977720218094,0.030252616264809407
cpu_usage,5 - Disk Noise,tenant-cpu,tenant-ntk,0.19323732853001419,0.0690112288622621
cpu_usage,5 - Disk Noise,tenant-dsk,tenant-mem,0.4203812034578554,0.06486293996440144
cpu_usage,5 - Disk Noise,tenant-dsk,tenant-nsy,0.4043314394494528,0.15497024450255462
cpu_usage,5 - Disk Noise,tenant-dsk,tenant-ntk,0.40443306247920147,0.15422713982263803
cpu_usage,5 - Disk Noise,tenant-mem,tenant-nsy,0.49597622113477846,0.049050789125199556
cpu_usage,5 - Disk Noise,tenant-mem,tenant-ntk,0.506063479845718,0.037650323768871986
cpu_usage,5 - Disk Noise,tenant-nsy,tenant-ntk,0.4342394794185971,0.08269102028457992
cpu_usage,6 - Combined Noise,tenant-cpu,tenant-dsk,0.16054324940499407,0.02337090308376473
cpu_usage,6 - Combined Noise,tenant-cpu,tenant-mem,0.2814008105735412,0.027927097416525867
cpu_usage,6 - Combined Noise,tenant-cpu,tenant-nsy,0.168461550671844,0.014152130535455448
cpu_usage,6 - Combined Noise,tenant-cpu,tenant-ntk,0.2222575433182797,0.07496015528017887
cpu_usage,6 - Combined Noise,tenant-dsk,tenant-mem,0.4407628569571365,0.04999877563568376
cpu_usage,6 - Combined Noise,tenant-dsk,tenant-nsy,0.5015784960070654,0.01587020517371504
cpu_usage,6 - Combined Noise,tenant-dsk,tenant-ntk,0.4252814939494837,0.05890103425320224
cpu_usage,6 - Combined Noise,tenant-mem,tenant-nsy,0.5024782578940843,0.041577373211628445
cpu_usage,6 - Combined Noise,tenant-mem,tenant-ntk,0.3852484909257186,0.047225019897634384
cpu_usage,6 - Combined Noise,tenant-nsy,tenant-ntk,0.38592817556062725,0.02273923833747543
cpu_usage,7 - Recovery,tenant-cpu,tenant-dsk,0.14548977009757072,0.08238289496966268
cpu_usage,7 - Recovery,tenant-cpu,tenant-mem,0.009894049528201726,0.13282360413536762
cpu_usage,7 - Recovery,tenant-cpu,tenant-nsy,0.05948374208547998,0.09986367097313557
cpu_usage,7 - Recovery,tenant-cpu,tenant-ntk,0.11102164945561506,0.014409859744303711
cpu_usage,7 - Recovery,tenant-dsk,tenant-mem,0.3645918090347924,0.08992751203575486
cpu_usage,7 - Recovery,tenant-dsk,tenant-nsy,0.03864547740338366,0.028487302109494753
cpu_usage,7 - Recovery,tenant-dsk,tenant-ntk,0.2790931387806465,0.0557181697939342
cpu_usage,7 - Recovery,tenant-mem,tenant-nsy,0.12332134459480538,0.07804977658768392
cpu_usage,7 - Recovery,tenant-mem,tenant-ntk,0.2144163704297084,0.037775999058645586
cpu_usage,7 - Recovery,tenant-nsy,tenant-ntk,-0.10822220346192557,0.18037841100914526
disk_throughput_total,1 - Baseline,tenant-cpu,tenant-dsk,0.44947188467248983,0.4661028038414662
disk_throughput_total,1 - Baseline,tenant-cpu,tenant-ntk,0.9898052490484515,
disk_throughput_total,1 - Baseline,tenant-dsk,tenant-ntk,0.7404505399986562,0.04536371689594152
disk_throughput_total,2 - CPU Noise,tenant-dsk,tenant-mem,-0.020301763598323915,
disk_throughput_total,2 - CPU Noise,tenant-dsk,tenant-nsy,0.03174154536253637,0.026858325446472243
disk_throughput_total,3 - Memory Noise,tenant-dsk,tenant-mem,-0.006917388443724182,0.08216656918036903
disk_throughput_total,3 - Memory Noise,tenant-dsk,tenant-nsy,0.060811983380650456,
disk_throughput_total,4 - Network Noise,tenant-dsk,tenant-mem,0.011030612504212544,0.014641544338898993
disk_throughput_total,4 - Network Noise,tenant-dsk,tenant-nsy,0.05940644349311647,0.013619655732575632
disk_throughput_total,4 - Network Noise,tenant-mem,tenant-nsy,-0.04036102151684257,0.0013625981737294512
disk_throughput_total,5 - Disk Noise,tenant-dsk,tenant-nsy,0.09211199252460323,0.10234285306634666
disk_throughput_total,6 - Combined Noise,tenant-dsk,tenant-nsy,0.3188474321740416,0.06288265287119864
disk_throughput_total,7 - Recovery,tenant-dsk,tenant-mem,-0.09143974786198894,0.13042413292221636
disk_throughput_total,7 - Recovery,tenant-dsk,tenant-nsy,0.12952705507530005,0.28300865090754634
disk_throughput_total,7 - Recovery,tenant-mem,tenant-nsy,-0.08101358054342424,0.0156959804746658
memory_usage,1 - Baseline,tenant-cpu,tenant-dsk,-0.3988719345749007,0.14658722683761305
memory_usage,1 - Baseline,tenant-cpu,tenant-mem,-0.2404645733425063,0.31916029487720077
memory_usage,1 - Baseline,tenant-cpu,tenant-ntk,-0.6882363605456181,0.16502670441719025
memory_usage,1 - Baseline,tenant-dsk,tenant-mem,0.8055571975290458,0.16343441754577187
memory_usage,1 - Baseline,tenant-dsk,tenant-ntk,0.7562078435305918,0.14545092976826596
memory_usage,1 - Baseline,tenant-mem,tenant-ntk,0.659386613418551,0.1994693462599039
memory_usage,2 - CPU Noise,tenant-cpu,tenant-dsk,0.0318129345276476,0.08584197508260542
memory_usage,2 - CPU Noise,tenant-cpu,tenant-mem,-0.010221724491060591,0.06482895521448433
memory_usage,2 - CPU Noise,tenant-cpu,tenant-nsy,0.03137208332833124,0.020938328735359727
memory_usage,2 - CPU Noise,tenant-cpu,tenant-ntk,0.008329604512113389,0.05039210623790812
memory_usage,2 - CPU Noise,tenant-dsk,tenant-mem,-0.06670595567761135,0.07721922321024319
memory_usage,2 - CPU Noise,tenant-dsk,tenant-nsy,0.06431771914866558,0.020582847075002283
memory_usage,2 - CPU Noise,tenant-dsk,tenant-ntk,-0.024958624957947723,0.1293645011195621
memory_usage,2 - CPU Noise,tenant-mem,tenant-nsy,-0.007391756229494016,0.09694840677174608
memory_usage,2 - CPU Noise,tenant-mem,tenant-ntk,0.23399550531309976,0.07688441330994049
memory_usage,2 - CPU Noise,tenant-nsy,tenant-ntk,0.045366244044936145,0.03225710778651114
memory_usage,3 - Memory Noise,tenant-cpu,tenant-dsk,0.14072274557785464,0.032687480590492285
memory_usage,3 - Memory Noise,tenant-cpu,tenant-mem,-0.013890779383780458,0.10633200541848466
memory_usage,3 - Memory Noise,tenant-cpu,tenant-nsy,0.07165255685076906,0.14642363787691218
memory_usage,3 - Memory Noise,tenant-cpu,tenant-ntk,-0.05748912862045407,0.09631263762817746
memory_usage,3 - Memory Noise,tenant-dsk,tenant-mem,0.05684424939393881,0.2109025806182696
memory_usage,3 - Memory Noise,tenant-dsk,tenant-nsy,-0.019537978420467988,0.16266774556058655
memory_usage,3 - Memory Noise,tenant-dsk,tenant-ntk,0.09404954793959304,0.03484307832366922
memory_usage,3 - Memory Noise,tenant-mem,tenant-nsy,-0.06311609325210625,0.13110935944788363
memory_usage,3 - Memory Noise,tenant-mem,tenant-ntk,-0.004527604642881313,0.11433401239727951
memory_usage,3 - Memory Noise,tenant-nsy,tenant-ntk,0.01184237521647187,0.14127952460571305
memory_usage,4 - Network Noise,tenant-cpu,tenant-dsk,0.0477088837151034,0.09121731016230103
memory_usage,4 - Network Noise,tenant-cpu,tenant-mem,0.0005158457110358353,0.0923794477196819
memory_usage,4 - Network Noise,tenant-cpu,tenant-nsy,-0.009294500045015938,0.05011680926025948
memory_usage,4 - Network Noise,tenant-cpu,tenant-ntk,-0.001960200842638681,0.11393837826073852
memory_usage,4 - Network Noise,tenant-dsk,tenant-mem,-0.07047892966652812,0.06246288679983516
memory_usage,4 - Network Noise,tenant-dsk,tenant-nsy,0.052992082295248016,0.07319561336035117
memory_usage,4 - Network Noise,tenant-dsk,tenant-ntk,0.06812424900863971,0.07810978908586735
memory_usage,4 - Network Noise,tenant-mem,tenant-nsy,-0.10449020097285532,0.29022721599593093
memory_usage,4 - Network Noise,tenant-mem,tenant-ntk,-0.03619403090950269,0.0823554017993622
memory_usage,4 - Network Noise,tenant-nsy,tenant-ntk,-0.21701405287641742,0.4781644829965601
memory_usage,5 - Disk Noise,tenant-cpu,tenant-dsk,-0.06010285837332488,0.060081813134172365
memory_usage,5 - Disk Noise,tenant-cpu,tenant-mem,0.020387563468678375,0.049608699963733106
memory_usage,5 - Disk Noise,tenant-cpu,tenant-nsy,-0.004724120836218597,0.010660376827784496
memory_usage,5 - Disk Noise,tenant-cpu,tenant-ntk,0.07610678463517455,0.04607865903728984
memory_usage,5 - Disk Noise,tenant-dsk,tenant-mem,-0.0829006456714949,0.044740711259276075
memory_usage,5 - Disk Noise,tenant-dsk,tenant-nsy,0.07599322839166149,0.045075876085086064
memory_usage,5 - Disk Noise,tenant-dsk,tenant-ntk,-0.04155514144820773,0.24382961191864694
memory_usage,5 - Disk Noise,tenant-mem,tenant-nsy,0.20420179559116644,0.05681197296886408
memory_usage,5 - Disk Noise,tenant-mem,tenant-ntk,0.04178962397352207,0.28007494308027625
memory_usage,5 - Disk Noise,tenant-nsy,tenant-ntk,0.21376439470017458,0.21016185003405466
memory_usage,6 - Combined Noise,tenant-cpu,tenant-dsk,-0.05072104976999481,0.05974223360701067
memory_usage,6 - Combined Noise,tenant-cpu,tenant-mem,-0.03525133588601673,0.18326017609991832
memory_usage,6 - Combined Noise,tenant-cpu,tenant-nsy,0.060286458567030445,0.16505409049614742
memory_usage,6 - Combined Noise,tenant-cpu,tenant-ntk,-0.042712677034525255,0.08098676629288505
memory_usage,6 - Combined Noise,tenant-dsk,tenant-mem,-0.02759788619824437,0.15242518643316716
memory_usage,6 - Combined Noise,tenant-dsk,tenant-nsy,0.03983917210688545,0.11012804218870254
memory_usage,6 - Combined Noise,tenant-dsk,tenant-ntk,0.005996492562020671,0.047640541054035646
memory_usage,6 - Combined Noise,tenant-mem,tenant-nsy,-0.14537989735569992,0.3008099748567104
memory_usage,6 - Combined Noise,tenant-mem,tenant-ntk,-0.03516694882335254,0.10582373155913526
memory_usage,6 - Combined Noise,tenant-nsy,tenant-ntk,0.09334508379854091,0.13788157979030619
memory_usage,7 - Recovery,tenant-cpu,tenant-dsk,-0.027966345563333994,0.011140925645433999
memory_usage,7 - Recovery,tenant-cpu,tenant-mem,-0.13889722960461245,0.039556302944023736
memory_usage,7 - Recovery,tenant-cpu,tenant-nsy,-0.010371751563655144,0.026414597284098593
memory_usage,7 - Recovery,tenant-cpu,tenant-ntk,-0.1636034969492888,0.05832887211698882
memory_usage,7 - Recovery,tenant-dsk,tenant-mem,-0.005018032316404954,0.13873729577392083
memory_usage,7 - Recovery,tenant-dsk,tenant-nsy,0.06189104763885076,0.1600372568845932
memory_usage,7 - Recovery,tenant-dsk,tenant-ntk,-0.15447385241834463,0.09049003757870469
memory_usage,7 - Recovery,tenant-mem,tenant-nsy,-0.009586723215629542,0.26556766182353314
memory_usage,7 - Recovery,tenant-mem,tenant-ntk,0.2303198961650154,0.4248342794310593
memory_usage,7 - Recovery,tenant-nsy,tenant-ntk,0.07580909589912456,0.10241715962008457
network_total_bandwidth,1 - Baseline,tenant-cpu,tenant-dsk,0.25262631308471856,0.25397092572969543
network_total_bandwidth,1 - Baseline,tenant-cpu,tenant-mem,0.19325569474576518,0.37554330390737684
network_total_bandwidth,1 - Baseline,tenant-cpu,tenant-ntk,0.2717338108247111,0.34990297177475516
network_total_bandwidth,1 - Baseline,tenant-dsk,tenant-mem,0.7267994727145178,0.07187790366679134
network_total_bandwidth,1 - Baseline,tenant-dsk,tenant-ntk,0.745379436154074,0.08858039343124019
