metric_name,tenant_id,mean_cohen_d,std_cohen_d,num_rounds_x,mean_percentage_change,std_percentage_change,num_rounds_y
cpu_usage,tenant-cpu,-0.8048997410543207,0.05757082470190601,18,-99.75668898118728,0.02373184365649462,18
cpu_usage,tenant-dsk,0.3552525613851651,0.39856875851320406,18,4.360520987038853,4.895212926553408,18
cpu_usage,tenant-mem,0.5857388026860044,0.3659958414767143,18,6.769495298234907,4.3993025424869305,18
cpu_usage,tenant-ntk,-0.3658214474505836,0.45724706269914195,18,-3.838139210423915,4.865103258379277,18
disk_throughput_total,tenant-cpu,-0.3158754199155551,0.23182250392939138,18,-100.0,0.0,12
disk_throughput_total,tenant-dsk,-0.7631274094674424,0.07342394309210402,18,-48.811700411547044,8.329914822242223,18
disk_throughput_total,tenant-mem,0.13096275008799374,0.1425558368488919,18,,,0
disk_throughput_total,tenant-ntk,-0.32734177085331345,0.23990137466168468,18,-100.0,0.0,12
memory_usage,tenant-cpu,-0.7218757378677637,0.0674800080066101,18,-27.343047022480402,1.8818275966491693,18
memory_usage,tenant-dsk,0.5425229349546223,0.20330641442523836,18,2.6367243741439688,0.8263975531790624,18
memory_usage,tenant-mem,0.6965819208388645,0.17090630951466765,18,6.069956965983475,1.6971602217998822,18
memory_usage,tenant-ntk,1.3434070188743656,0.5141005315103795,18,8.54026729384052,3.655752551213747,18
network_total_bandwidth,tenant-cpu,-0.13171544427721182,0.15339869850874197,18,-1.4599054954559088,1.702922272894759,18
network_total_bandwidth,tenant-dsk,0.2311815520891799,0.07240943734993861,18,3.1610041242812557,1.0323341046726329,18
network_total_bandwidth,tenant-mem,0.43932140860258384,0.06362770272921044,18,6.481885676336891,1.4257884379673729,18
network_total_bandwidth,tenant-ntk,0.31845702546258664,0.05926373844140054,18,3.676984333360831,0.60519014599162,18
