metric_name,formatted_metric_name,experimental_phase,formatted_phase,tenant_id,count,mean,std,min,q1,median,q3,max,iqr
memory_usage,Memory Usage,1-Baseline,1 - Baseline,tenant-cpu,3397,247305390.5351781,49247767.30610712,97075200.0,209428480.0,253153280.0,276606976.0,356737024.0,67178496.0
memory_usage,Memory Usage,1-Baseline,1 - Baseline,tenant-dsk,3397,496403145.8157197,55218927.45096813,200904704.0,464224256.0,495501312.0,529891328.0,603484160.0,65667072.0
memory_usage,Memory Usage,1-Baseline,1 - Baseline,tenant-mem,3397,256439078.65999413,48285950.74025576,96157696.0,221962240.0,259981312.0,289083392.0,356745216.0,67121152.0
memory_usage,Memory Usage,1-Baseline,1 - Baseline,tenant-ntk,3397,463424061.3435384,41332214.969825365,253423616.0,435990528.0,452960256.0,494907392.0,607653888.0,58916864.0
memory_usage,Memory Usage,2-CPU-Noise,2 - CPU Noise,tenant-cpu,3401,253329330.92149368,50353192.42272781,75931648.0,215375872.0,257941504.0,287170560.0,358424576.0,71794688.0
memory_usage,Memory Usage,2-CPU-Noise,2 - CPU Noise,tenant-dsk,3401,505760340.7562482,48137700.0234528,361250816.0,468279296.0,508764160.0,536805376.0,614486016.0,68526080.0
memory_usage,Memory Usage,2-CPU-Noise,2 - CPU Noise,tenant-mem,3401,261503377.65127903,49481055.50944722,106180608.0,227024896.0,268967936.0,293421056.0,370024448.0,66396160.0
memory_usage,Memory Usage,2-CPU-Noise,2 - CPU Noise,tenant-nsy,3401,242299213.60541016,48891010.38076676,90492928.0,207269888.0,246173696.0,275189760.0,342376448.0,67919872.0
memory_usage,Memory Usage,2-CPU-Noise,2 - CPU Noise,tenant-ntk,3401,469955417.4983828,41253603.33117393,355528704.0,443658240.0,461594624.0,501850112.0,593915904.0,58191872.0
memory_usage,Memory Usage,3-Memory-Noise,3 - Memory Noise,tenant-cpu,3302,258638729.53603876,50160185.715255976,101908480.0,220860416.0,263966720.0,292829184.0,359174144.0,71968768.0
memory_usage,Memory Usage,3-Memory-Noise,3 - Memory Noise,tenant-dsk,3301,510086572.3986671,48188597.2909528,376815616.0,474427392.0,509968384.0,542285824.0,614891520.0,67858432.0
memory_usage,Memory Usage,3-Memory-Noise,3 - Memory Noise,tenant-mem,3301,262946892.93183884,50492469.3941984,98058240.0,228012032.0,270680064.0,297869312.0,372457472.0,69857280.0
memory_usage,Memory Usage,3-Memory-Noise,3 - Memory Noise,tenant-nsy,3301,276235624.77309906,50970997.45629355,110379008.0,236691456.0,282734592.0,310796288.0,376209408.0,74104832.0
memory_usage,Memory Usage,3-Memory-Noise,3 - Memory Noise,tenant-ntk,3301,474262204.4519842,43945075.7860644,347426816.0,447426560.0,466399232.0,508461056.0,611037184.0,61034496.0
