metric_name,formatted_metric_name,experimental_phase,formatted_phase,tenant_id,count,mean,std,min,q1,median,q3,max,iqr
disk_io_total,Disk I/O Total,1-Baseline,1 - Baseline,tenant-cpu,3397,302826.7117991784,46813.22509428519,135533.7160688941,271550.36305232486,303194.43553489243,332258.0928762659,507423.9700711443,60707.729823941016
disk_io_total,Disk I/O Total,1-Baseline,1 - Baseline,tenant-dsk,3397,19834069.372929405,46526291.27517766,6043279.245225725,10893422.09493386,11974321.580143005,13104167.99104537,451246515.980281,2210745.8961115107
disk_io_total,Disk I/O Total,1-Baseline,1 - Baseline,tenant-mem,3397,303019.85652858566,44685.93065677062,164399.67637120886,275828.7503371596,303272.77490730095,330457.1854981519,494518.92630148726,54628.43516099232
disk_io_total,Disk I/O Total,1-Baseline,1 - Baseline,tenant-ntk,3397,317967.2812153157,91193.5661069389,137436.89707413389,274952.78394475137,304609.4472594843,334999.2342844276,823219.4549516197,60046.45033967623
disk_io_total,Disk I/O Total,2-CPU-Noise,2 - CPU Noise,tenant-cpu,3401,296501.5311568055,41355.92112883704,147297.0273541685,269096.7672817838,297772.1706075641,325174.22577905725,430546.2211251568,56077.458497273445
disk_io_total,Disk I/O Total,2-CPU-Noise,2 - CPU Noise,tenant-dsk,3401,12417091.385607626,2068829.4743976179,2315257.834085637,11138373.7216056,12241877.315351048,13535683.203321898,22568600.93047832,2397309.4817162976
disk_io_total,Disk I/O Total,2-CPU-Noise,2 - CPU Noise,tenant-mem,3401,296870.86303452344,42050.8983111211,140383.80134674715,268498.0238517306,299005.698693465,327672.580278439,425878.94554489874,59174.556426708354
disk_io_total,Disk I/O Total,2-CPU-Noise,2 - CPU Noise,tenant-nsy,3383,291478.66609027045,51098.52540746896,4778.666666666667,264291.8398195915,295569.8768202151,325136.23544252524,429460.8183656577,60844.39562293375
disk_io_total,Disk I/O Total,2-CPU-Noise,2 - CPU Noise,tenant-ntk,3401,352533.9820027858,171151.08952925762,111616.0,273382.2467530926,303190.83011876605,337022.06569176697,1104503.751376579,63639.81893867435
disk_io_total,Disk I/O Total,3-Memory-Noise,3 - Memory Noise,tenant-cpu,3303,325369.77383760456,127180.36501496463,145750.58977505114,275155.3205367336,304450.5948497165,334489.0103412709,1320934.4126872215,59333.68980453728
disk_io_total,Disk I/O Total,3-Memory-Noise,3 - Memory Noise,tenant-dsk,3303,12573619.580567002,1776363.2627998595,7074058.130791001,11404517.521823283,12487122.985480292,13659849.577003965,18940826.02608929,2255332.055180682
disk_io_total,Disk I/O Total,3-Memory-Noise,3 - Memory Noise,tenant-mem,3303,298591.39236689004,40577.8382562199,131174.40000000002,272261.9138961731,300058.767254504,326551.8969975581,414697.1561599771,54289.983101385005
disk_io_total,Disk I/O Total,3-Memory-Noise,3 - Memory Noise,tenant-nsy,3303,296764.3423352092,45363.168848272995,26162.82012365766,270852.48935022065,298918.18023935606,327735.13824417023,420419.8435817632,56882.648893949576
disk_io_total,Disk I/O Total,3-Memory-Noise,3 - Memory Noise,tenant-ntk,3303,346209.8352846081,144269.1980716072,113164.28202181596,277673.60115597665,308259.4187656408,341271.93571940967,1178511.012213977,63598.33456343302
disk_io_total,Disk I/O Total,4-Network-Noise,4 - Network Noise,tenant-cpu,3236,331578.5300069816,168413.8903305724,145026.12853246945,269083.1041383607,296240.2195324975,325790.68022381584,1378472.4099846953,56707.57608545513
disk_io_total,Disk I/O Total,4-Network-Noise,4 - Network Noise,tenant-dsk,3236,12648226.797084771,2136536.552638843,2167382.5114690578,11368274.516416019,12577544.632101055,13846107.983475119,20267083.617743667,2477833.4670591
disk_io_total,Disk I/O Total,4-Network-Noise,4 - Network Noise,tenant-mem,3236,291808.8752240594,40169.34486713474,106966.47808260308,266317.6022565634,293146.84778231394,320728.72458214336,432405.24511489214,54411.122325579985
disk_io_total,Disk I/O Total,4-Network-Noise,4 - Network Noise,tenant-nsy,3236,289737.0026005822,41379.80464637991,126155.4832288326,264504.0827839132,291435.4388391735,317789.4495176951,419878.1880971843,53285.366733781935
disk_io_total,Disk I/O Total,4-Network-Noise,4 - Network Noise,tenant-ntk,3236,354387.2782779658,201509.77024962872,110694.4,262708.41826308006,294910.8468382598,329280.46820216463,1158467.0915143462,66572.04993908457
disk_io_total,Disk I/O Total,5-Disk-Noise,5 - Disk Noise,tenant-cpu,3151,340220.5726081686,164784.7538529885,94409.28585618026,264631.7849658771,297036.3189420895,331838.6740444462,1123411.9355674055,67206.88907856913
disk_io_total,Disk I/O Total,5-Disk-Noise,5 - Disk Noise,tenant-dsk,3151,6818950.302717279,2194722.598099367,1250582.1134897314,5954999.596564556,6527429.621335021,7083094.102183692,24331458.08052298,1128094.5056191366
disk_io_total,Disk I/O Total,5-Disk-Noise,5 - Disk Noise,tenant-mem,3151,305351.2269089034,78380.52297449809,48833.44442662621,265071.7245328831,299988.4494666712,330527.8208066318,859320.9983447283,65456.09627374873
disk_io_total,Disk I/O Total,5-Disk-Noise,5 - Disk Noise,tenant-nsy,3151,7316251.009356863,10428885.076016948,745752.1387156919,5823322.460360035,6425522.609700635,6941012.611434864,263096722.43116105,1117690.1510748286
disk_io_total,Disk I/O Total,5-Disk-Noise,5 - Disk Noise,tenant-ntk,3151,415600.0644000578,230678.83625453195,88646.54612158303,282184.201123783,324002.8514945062,382151.7295413632,1379867.8013401767,99967.52841758018
disk_io_total,Disk I/O Total,6-Combined-Noise,6 - Combined Noise,tenant-cpu,2723,330497.81212627125,169651.61028260054,89789.07086796995,244207.25655592897,283657.44548433984,322772.92700791,1265845.609447542,78565.67045198102
disk_io_total,Disk I/O Total,6-Combined-Noise,6 - Combined Noise,tenant-dsk,2723,6407623.248707469,847837.6231781881,387689.5391772141,5917206.495113835,6405146.653252417,6936675.447707624,10871937.907494452,1019468.9525937894
disk_io_total,Disk I/O Total,6-Combined-Noise,6 - Combined Noise,tenant-mem,2723,322855.4696764765,147859.46027359454,112330.54534436428,241170.8324588498,283013.03974012926,325376.6098984998,932759.7323356348,84205.77743965
disk_io_total,Disk I/O Total,6-Combined-Noise,6 - Combined Noise,tenant-nsy,2723,6367782.5070136115,833875.7066442668,388498.76527718175,5839193.529725248,6383119.4648974445,6908904.503337849,9773347.570159717,1069710.973612601
disk_io_total,Disk I/O Total,6-Combined-Noise,6 - Combined Noise,tenant-ntk,2723,418776.7606612321,237976.08608604362,105770.9183843623,267661.3521429894,308899.0823092275,571720.675935457,1209028.0234670478,304059.3237924676
disk_io_total,Disk I/O Total,7-Recovery,7 - Recovery,tenant-cpu,2805,335297.27006093535,154817.11622482183,140778.8880667321,266287.4947037298,299644.244864705,333688.0816774973,1161660.1280304908,67400.5869737675
disk_io_total,Disk I/O Total,7-Recovery,7 - Recovery,tenant-dsk,2805,12339177.10325058,2369071.319458956,2840780.9347942565,10984524.596816791,12387980.72506588,13796657.993474694,22771991.304799147,2812133.3966579027
disk_io_total,Disk I/O Total,7-Recovery,7 - Recovery,tenant-mem,2805,354333.94278570643,174174.45641425534,102731.66608866546,270489.7580688029,302842.98811235925,340645.08400335675,1089713.0557760196,70155.32593455387
disk_io_total,Disk I/O Total,7-Recovery,7 - Recovery,tenant-nsy,2805,141269.74453614416,775753.2051378771,0.0,0.0,0.0,0.0,7462118.31693962,0.0
disk_io_total,Disk I/O Total,7-Recovery,7 - Recovery,tenant-ntk,2805,391018.467518192,216552.9425943272,139822.6755560569,275715.7068562352,313862.15093308303,365866.1375948048,1496749.4151555528,90150.43073856959
