,tenant-cpu,tenant-dsk,tenant-mem,tenant-ntk
tenant-cpu,,0.0006732318799908262,0.2297092111448666,0.0005905365636031565
tenant-dsk,0.4812669674836183,,0.02743418600696036,0.008654587016973234
tenant-mem,0.01868050960905588,0.26570659509105404,,1.296984219354498e-05
tenant-ntk,0.0016715898434205866,0.00487376583503588,0.04576724809450723,
