,tenant-cpu,tenant-dsk,tenant-mem,tenant-nsy,tenant-ntk
tenant-cpu,,0.5290226687470129,0.562921339626695,0.13159282197809033,0.5324272514629458
tenant-dsk,0.33109484058851757,,0.40255180912990596,0.06630288554467255,0.40890285580823443
tenant-mem,0.6144570548088769,0.5174218519421929,,0.137123064945068,0.6880002502779784
tenant-nsy,0.030487176491504415,0.023720260742392828,0.041356741708895715,,0.030487176491504415
tenant-ntk,0.5517187269999722,0.5171990943952433,0.5256514750502259,0.10555637093569109,
